Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Combined,Outlet
12.792854228644991,2,0.15028599,51.0692,35,2,0,0,147.8076,1,4
12.792854228644991,0,0.026015518999999997,255.8356,35,1,2,3,2543.356,1,5
17.7,0,0.195068226,185.4266,22,1,2,0,184.4266,1,0
19.35,0,0.033082215,172.5738,16,2,1,1,4865.6664,1,6
13.65,2,0.078946455,186.024,18,1,1,1,1118.5439999999999,1,7
17.6,0,0.041700756,164.8526,18,1,1,1,2302.3364,0,7
8.645,1,0.14342264300000002,95.84100000000001,23,2,0,1,2027.361,2,8
15.6,2,0.10529607199999999,170.1764,23,2,0,1,3435.528,1,8
15.85,2,0.121531501,59.222,33,0,2,1,599.22,1,1
18.25,0,0.06595278007399345,164.7526,18,1,1,1,4604.6728,1,7
7.855,0,0.011324862,189.6188,13,1,1,1,2285.0256,1,2
7.825,1,0.186357148,254.3698,21,1,0,1,5580.7356,2,9
8.39,2,0.024205661,114.0176,23,2,0,1,2290.3520000000003,1,8
12.85,0,0.033230816,172.3422,21,1,0,1,1207.0954,1,9
12.792854228644991,0,0.113720344,89.9804,35,2,0,0,643.1628,1,4
19.0,0,0.11255650699999999,104.9622,13,1,1,1,1587.933,1,2
5.905,0,0.06595278007399345,222.5456,18,1,1,1,5305.0944,1,7
7.76,0,0.05935224099999999,101.87,23,2,0,1,1697.79,1,8
11.8,2,0.014087057,180.3344,23,2,0,1,1427.4752,1,8
16.75,0,0.045230944,187.9556,11,1,2,2,4693.89,1,3
12.792854228644991,1,0.293417759,194.6136,35,2,0,0,583.2408,2,4
12.792854228644991,2,0.031382044,171.3764,35,1,2,3,3091.9752,1,5
15.5,2,0.12639886,177.0028,13,1,1,1,2479.4392,1,2
6.055,0,0.025403897999999998,160.99200000000002,16,2,1,1,2716.4640000000004,1,6
12.792854228644991,2,0.039057677,155.963,35,1,2,3,3285.723,1,5
6.305,2,0.123115764,95.6436,23,2,0,1,661.8052,1,8
20.85,0,0.039624006,117.2808,21,1,0,1,1523.3504,1,9
20.75,0,0.040421193,122.17299999999999,22,1,2,0,369.519,1,0
8.895,0,0.10527411099999999,39.9138,21,1,0,1,690.4346,0,9
19.6,0,0.033970195,55.1614,18,1,1,1,1381.535,0,7
19.7,0,0.053212652,57.893,16,2,1,1,622.523,1,6
9.8,1,0.024378706,114.5492,16,2,1,1,1274.3412,2,6
12.792854228644991,0,0.009714595,120.0414,35,2,0,0,487.3656,1,4
12.15,0,0.131383762,246.046,21,1,0,1,1231.73,1,9
8.75,2,0.07461309,187.4556,16,2,1,1,3755.112,1,6
12.792854228644991,1,0.028459761,149.9708,35,1,2,3,4363.6532,2,5
8.75,2,0.07462720099999999,187.8556,23,2,0,1,1314.2892,1,8
13.3,0,0.063695084,151.0708,18,1,1,1,1805.6496,1,7
12.792854228644991,2,0.045797829000000005,178.5344,35,1,2,3,2854.9504,1,5
8.31,2,0.11585722300000001,179.1028,21,1,0,1,3896.2616,1,9
16.75,2,0.024832806000000002,38.7822,33,0,2,1,667.7974,0,1
19.75,0,0.034027909,212.0902,11,1,2,2,3185.853,1,3
17.1,2,0.046769599999999995,141.1838,33,0,2,1,2247.7408,1,1
10.5,2,0.11657670199999999,163.121,33,0,2,1,1794.3310000000001,1,1
6.635,2,0.06595278007399345,121.3098,18,1,1,1,2530.7058,1,7
12.792854228644991,0,0.278974075,225.372,35,2,0,0,679.1160000000001,0,4
14.15,0,0.035913805,41.4138,33,0,2,1,812.2760000000001,0,1
13.3,0,0.079806266,232.53,23,2,0,1,699.09,1,8
8.89,0,0.005505481,102.4016,13,1,1,1,2732.4432,1,2
12.792854228644991,2,0.064625342,176.937,35,2,0,0,176.437,1,4
12.792854228644991,0,0.071636937,121.7098,35,1,2,3,4097.3332,1,5
9.1,2,0.06595278007399345,173.2054,18,1,1,1,3151.8972,1,7
7.5,0,0.032677677999999995,239.0906,21,1,0,1,5942.265,1,9
16.85,2,0.160760054,192.4478,13,1,1,1,4843.695,1,2
7.485,0,0.06911065,109.0228,16,2,1,1,2542.0244,1,6
11.6,0,0.041177505,140.3154,13,1,1,1,2552.6772,0,2
11.65,0,0.040081193,227.0694,11,1,2,2,1141.847,1,3
13.0,1,0.035307322,47.5034,13,1,1,1,680.4476,2,2
12.65,0,0.063017847,159.0578,18,1,1,1,2085.9514,0,7
20.25,2,0.171938781,92.512,22,1,2,0,186.424,1,0
8.6,2,0.040197932,190.153,16,2,1,1,3036.048,1,6
12.6,0,0.049058014000000004,62.7194,13,1,1,1,866.8716,1,2
17.7,0,0.01161096,95.041,16,2,1,1,868.8689999999999,1,6
14.15,0,0.183507295,82.4276,23,2,0,1,1137.1864,0,8
19.25,0,0.102349519,52.7956,13,1,1,1,928.1252,1,2
8.88,0,0.08670898699999999,151.7682,33,0,2,1,762.341,0,1
20.5,1,0.032835147,40.2822,18,1,1,1,707.0796,2,7
12.792854228644991,0,0.033809913,180.5976,35,1,2,3,7968.2944,1,5
13.5,1,0.07266912,160.292,23,2,0,1,1438.128,2,8
12.792854228644991,1,0.144338493,224.4404,35,1,2,3,6976.2524,2,5
8.89,0,0.009163216,101.7016,22,1,2,0,101.2016,1,0
7.855,0,0.011307038,188.5188,11,1,2,2,952.0939999999999,1,3
7.235,1,0.076855628,116.0492,23,2,0,1,1969.4364,2,8
12.792854228644991,0,0.059956876,165.4526,35,1,2,3,5262.4832,1,5
6.92,0,0.038532062,60.5852,18,1,1,1,1314.2892,1,7
9.3,0,0.043209581,90.8172,13,1,1,1,535.3032,1,2
18.5,1,0.056816465,132.1284,22,1,2,0,263.6568,2,0
8.02,1,0.019866705,154.5972,16,2,1,1,1402.1748,2,6
9.195,1,0.048331717,105.1622,13,1,1,1,1693.7952,2,2
12.8,1,0.091221855,105.5938,18,1,1,1,2143.876,2,7
16.6,1,0.027622076000000002,177.6344,21,1,0,1,2676.5159999999996,2,9
14.0,2,0.06595278007399345,53.06399999999999,16,2,1,1,905.488,1,6
18.6,0,0.039355947,246.3802,21,1,0,1,7370.406,1,9
16.0,0,0.060836524,226.8404,16,2,1,1,6301.1312,1,6
17.6,1,0.082316506,160.692,16,2,1,1,1597.92,2,6
21.25,0,0.155350299,178.237,16,2,1,1,529.311,1,6
7.235,1,0.076841095,117.5492,16,2,1,1,1969.4364,2,6
14.6,0,0.151419185,50.3692,13,1,1,1,1034.6532,0,2
13.85,2,0.026001976,161.52100000000002,11,1,2,2,1794.3310000000001,1,3
13.65,2,0.073209447,197.6426,11,1,2,2,2768.3964,1,3
12.792854228644991,0,0.041683481,31.29,35,1,2,3,898.83,0,5
7.365,0,0.042560252,226.172,23,2,0,1,3169.208,1,8
18.35,1,0.014081156000000001,223.5746,11,1,2,2,3589.9936,2,3
5.465,2,0.06595278007399345,132.5626,11,1,2,2,262.3252,1,3
18.6,0,0.152918384,99.8358,13,1,1,1,1910.1802,1,2
13.85,0,0.030969273999999998,140.9154,13,1,1,1,1701.7848,0,2
14.0,2,0.06037677599999999,154.5656,33,0,2,1,2471.4496,1,1
14.0,2,0.04192285,54.763999999999996,33,0,2,1,1331.6,1,1
12.792854228644991,0,0.077367431,97.0094,35,1,2,3,1808.9786,1,5
5.905,0,0.045838211,222.5456,11,1,2,2,3315.684,1,3
7.27,0,0.071077939,114.2518,23,2,0,1,2618.5914,0,8
6.155,2,0.09465987099999999,214.55599999999998,23,2,0,1,2769.728,1,8
19.5,2,0.077608838,233.4958,13,1,1,1,5375.0034,0,2
15.2,0,0.021327477,216.8824,13,1,1,1,2838.9712,1,2
12.15,2,0.042485444000000004,125.0046,11,1,2,2,1743.0644,1,3
12.792854228644991,1,0.025578526,198.8084,35,1,2,3,5555.4352,2,5
12.6,0,0.048980800000000005,61.9194,11,1,2,2,619.194,1,3
14.5,1,0.019471688,164.821,16,2,1,1,2120.573,2,6
16.6,0,0.122918852,173.0738,13,1,1,1,3823.0236,1,2
11.8,2,0.057373797000000004,151.4366,33,0,2,1,1360.2294,1,1
13.1,2,0.044155597000000005,178.8318,33,0,2,1,3969.4996,1,1
17.7,0,0.291865402,115.1834,22,1,2,0,345.5502,1,0
17.85,0,0.06595278007399345,196.5794,22,1,2,0,585.2382,1,0
12.3,2,0.064750025,92.6804,18,1,1,1,1010.6844,1,7
11.8,1,0.098312421,81.4618,22,1,2,0,161.1236,2,0
12.792854228644991,2,0.191013663,42.1112,35,2,0,0,42.6112,0,4
11.1,0,0.176573035,157.4604,18,1,1,1,3010.7476,1,7
12.792854228644991,2,0.060134441,153.0656,35,1,2,3,6024.1584,1,5
11.3,0,0.0072946519999999996,198.1426,18,1,1,1,988.7130000000001,1,7
12.792854228644991,1,0.128478462,117.944,35,2,0,0,239.688,2,4
5.75,2,0.075107656,112.8176,33,0,2,1,1374.2112,1,1
12.792854228644991,2,0.049381405999999996,226.8062,35,1,2,3,4739.8302,1,5
11.35,2,0.045165795999999994,100.0016,11,1,2,2,1012.0160000000001,1,3
12.792854228644991,2,0.09415375,165.7526,35,2,0,0,657.8104,1,4
14.0,1,0.028907832,130.431,21,1,0,1,778.9860000000001,2,9
19.75,2,0.018059621,179.766,18,1,1,1,2336.958,1,7
6.525,1,0.09043609400000001,85.0882,21,1,0,1,2233.0932,2,9
10.3,0,0.146399712,103.9648,21,1,0,1,1661.8368,1,9
5.78,2,0.07426435599999999,264.7568,21,1,0,1,4745.8224,1,9
11.85,2,0.050186725999999994,164.1526,18,1,1,1,3124.5994,1,7
16.35,0,0.020631654,50.1324,11,1,2,2,467.3916,1,3
12.792854228644991,1,0.01561108,182.5976,35,1,2,3,5070.7328,2,5
10.5,0,0.041395445,37.6164,23,2,0,1,540.6296,1,8
19.0,2,0.097313129,48.0718,23,2,0,1,992.7078,1,8
14.6,1,0.059582996,238.8538,21,1,0,1,6008.845,2,9
12.792854228644991,2,0.09866365199999999,62.9194,35,1,2,3,2105.2596,1,5
12.792854228644991,2,0.101338651,232.63,35,1,2,3,5359.69,1,5
18.75,1,0.052146455999999994,104.62799999999999,18,1,1,1,745.696,2,7
5.26,2,0.041764487,161.8868,16,2,1,1,3275.736,1,6
18.25,0,0.054344185999999996,140.2154,18,1,1,1,1701.7848,1,7
12.792854228644991,0,0.07836248400000001,177.937,35,1,2,3,6704.606,1,5
15.1,0,0.052339069,242.7512,23,2,0,1,4119.9704,1,8
15.5,2,0.042464962,81.5934,22,1,2,0,327.5736,1,0
13.65,0,0.06573288299999999,45.7402,21,1,0,1,780.9834,1,9
16.1,0,0.023625114,189.3846,18,1,1,1,3630.6074,0,7
12.792854228644991,2,0.051643608,107.3622,35,2,0,0,317.5866,1,4
12.85,0,0.165694219,39.7164,22,1,2,0,231.6984,1,0
9.5,0,0.041878397000000005,32.99,16,2,1,1,133.16,0,6
13.8,0,0.058091482,245.1802,16,2,1,1,5650.6446,0,6
5.78,2,0.06595278007399345,263.7568,13,1,1,1,2636.5679999999998,1,2
19.7,1,0.026903714,96.0726,18,1,1,1,1272.3438,2,7
14.65,1,0.06595278007399345,161.5552,22,1,2,0,324.9104,2,0
6.67,2,0.150554711,130.0626,22,1,2,0,131.1626,1,0
6.11,2,0.06595278007399345,131.2968,22,1,2,0,260.9936,1,0
13.65,2,0.13497562800000001,260.0936,22,1,2,0,260.9936,1,0
17.2,0,0.15616879,160.6578,33,0,2,1,3690.5294,1,1
6.32,0,0.06595278007399345,40.2822,16,2,1,1,1139.1838,1,6
4.88,2,0.133700752,52.9298,21,1,0,1,1995.4026,1,9
5.425,2,0.115119905,88.3514,13,1,1,1,1416.8224,1,2
15.85,2,0.11003099699999999,37.2506,23,2,0,1,265.6542,1,8
7.5,0,0.051038045,121.7072,13,1,1,1,3552.7088,1,2
12.65,0,0.062837968,161.5578,33,0,2,1,2406.867,0,1
12.792854228644991,1,0.017116983,211.956,35,2,0,0,213.05599999999998,2,4
20.75,0,0.024129332000000003,124.17299999999999,33,0,2,1,2956.152,1,1
12.792854228644991,0,0.049754975,152.134,35,2,0,0,153.134,0,4
9.0,0,0.06595278007399345,79.7644,16,2,1,1,1649.8524,1,6
12.792854228644991,0,0.101561568,181.9292,35,1,2,3,3101.2964,1,5
12.792854228644991,1,0.0059496440000000005,165.6526,35,1,2,3,4769.1254,2,5
12.792854228644991,2,0.13956116,170.4764,35,1,2,3,3435.528,1,5
14.1,0,0.126035694,86.4198,18,1,1,1,1133.8574,1,7
7.55,0,0.027164679,152.334,16,2,1,1,2603.278,1,6
13.0,1,0.099325278,45.406000000000006,23,2,0,1,605.878,2,8
12.792854228644991,0,0.04357366,192.8846,35,1,2,3,2293.0152,0,5
12.792854228644991,2,0.082741482,118.7782,35,2,0,0,119.1782,1,4
12.3,2,0.064565202,92.9804,33,0,2,1,1929.4884,1,1
12.792854228644991,0,0.08455456900000001,109.8912,35,1,2,3,2074.6328,1,5
12.792854228644991,1,0.058451805,79.9618,35,1,2,3,241.6854,2,5
17.25,1,0.113748685,251.3724,18,1,1,1,6795.1548,2,7
15.85,1,0.020603511,42.7112,13,1,1,1,639.168,2,2
18.85,1,0.052044976,192.1846,16,2,1,1,3248.4382,2,6
16.35,2,0.06276442900000001,227.6062,13,1,1,1,7222.5984,1,2
14.1,0,0.08797726199999999,229.0668,16,2,1,1,3225.1352,0,6
7.905,0,0.010010425,249.0408,16,2,1,1,3755.112,1,6
12.0,0,0.033946163,179.3976,33,0,2,1,3440.8544,1,1
12.15,2,0.058414678,163.4552,16,2,1,1,974.7312,1,6
10.1,0,0.027106459,75.367,21,1,0,1,535.969,1,9
17.5,0,0.027022882999999998,262.491,13,1,1,1,5259.82,1,2
12.792854228644991,0,0.058153409,152.034,35,2,0,0,306.268,0,4
17.1,0,0.128937661,112.3886,11,1,2,2,1779.0176,1,3
7.785,0,0.088846306,61.451,21,1,0,1,759.012,1,9
11.8,2,0.09357779,125.9704,33,0,2,1,1877.556,1,1
13.15,2,0.165694678,171.8764,18,1,1,1,3779.0808,1,7
12.792854228644991,0,0.148392623,41.5796,35,2,0,0,41.2796,1,4
8.5,0,0.098438394,51.1324,13,1,1,1,259.66200000000003,1,2
8.645,1,0.143303291,96.34100000000001,33,0,2,1,193.082,2,1
17.6,2,0.076276208,110.9202,18,1,1,1,1687.8029999999999,1,7
9.1,0,0.175103435,127.5362,13,1,1,1,4655.9394,1,2
12.8,2,0.023511371,225.9404,33,0,2,1,4950.8888,1,1
7.63,0,0.06105276,95.4436,16,2,1,1,1418.154,0,6
9.285,2,0.049559042000000005,246.4144,13,1,1,1,1225.072,1,2
13.6,2,0.119418124,231.03,18,1,1,1,5359.69,1,7
8.895,0,0.072545601,176.237,18,1,1,1,1764.37,1,7
16.35,1,0.090486828,195.21099999999998,33,0,2,1,2553.343,2,1
17.6,0,0.056245075,43.3454,33,0,2,1,1006.6896,1,1
7.975,0,0.014618973,85.225,33,0,2,1,1081.925,1,1
15.85,0,0.04347912599999999,36.7164,13,1,1,1,308.9312,1,2
15.7,0,0.045166237000000005,178.666,33,0,2,1,2516.724,1,1
8.985,2,0.057827101,128.83100000000002,23,2,0,1,1428.141,1,8
20.35,0,0.089394766,260.1594,33,0,2,1,2093.2752,1,1
6.59,0,0.10550944,85.6908,33,0,2,1,1929.4884,1,1
19.85,0,0.005234153,264.0884,16,2,1,1,5829.7448,1,6
16.85,0,0.036390174,91.4488,23,2,0,1,2082.6224,1,8
12.792854228644991,0,0.03292824,173.1738,35,1,2,3,7298.4996,1,5
16.75,0,0.081252534,256.4988,33,0,2,1,7452.9652,1,1
17.6,2,0.076552407,110.5202,13,1,1,1,450.0808,1,2
7.905,0,0.016758568999999997,250.4408,22,1,2,0,500.6816,1,0
12.792854228644991,0,0.044248175,126.20200000000001,35,1,2,3,3668.558,1,5
7.785,2,0.038288087,103.1964,11,1,2,2,736.3748,1,3
7.825,1,0.186032678,253.0698,16,2,1,1,6088.0752,2,6
12.792854228644991,1,0.031867464,101.0016,35,1,2,3,2125.2336,2,5
20.75,0,0.021370201000000002,153.0024,13,1,1,1,2277.036,0,2
12.792854228644991,0,0.193772568,190.3846,35,2,0,0,573.2538,1,4
6.26,2,0.009866049,151.1366,16,2,1,1,2267.049,1,6
18.2,0,0.082551042,147.3734,22,1,2,0,296.9468,1,0
13.0,1,0.099729888,46.306000000000004,11,1,2,2,559.2719999999999,2,3
20.25,2,0.018801549,222.1772,16,2,1,1,5559.43,1,6
8.695,1,0.11972145099999999,95.5094,21,1,0,1,1237.7222,2,9
7.27,0,0.071222087,113.5518,18,1,1,1,569.259,0,7
12.792854228644991,2,0.060371962,174.0712,35,1,2,3,3866.9664,1,5
12.85,0,0.033287541000000004,198.4768,18,1,1,1,1379.5376,1,7
7.075,0,0.05858462,142.7128,11,1,2,2,1869.5664,1,3
12.792854228644991,2,0.11679292,196.21099999999998,35,1,2,3,5499.508000000001,1,5
8.195,0,0.031452265,94.3462,21,1,0,1,925.462,1,9
7.09,0,0.00721395,47.9034,16,2,1,1,583.2408,1,6
6.095,1,0.081196619,141.4154,23,2,0,1,1418.154,2,8
19.35,2,0.049916364000000005,80.2644,13,1,1,1,942.7728,1,2
6.15,0,0.04627095,99.3384,23,2,0,1,2364.9216,1,8
12.792854228644991,2,0.02747716,87.9856,35,1,2,3,3251.7672,1,5
12.792854228644991,2,0.10470453699999999,125.2678,35,2,0,0,254.3356,1,4
17.7,1,0.012540003000000001,167.0474,16,2,1,1,5895.659000000001,2,6
17.85,0,0.147023834,93.7436,11,1,2,2,1134.5232,1,3
9.395,0,0.15965759599999998,224.972,18,1,1,1,7696.648,0,7
15.75,0,0.141398626,250.5382,13,1,1,1,2775.7202,0,2
7.475,0,0.148821808,241.2854,18,1,1,1,5317.0788,1,7
7.075,0,0.06595278007399345,98.0068,11,1,2,2,874.8612,1,3
6.445,0,0.029691762000000003,92.6436,23,2,0,1,1039.9796,1,8
19.1,0,0.09671552300000001,235.0958,16,2,1,1,3038.0454,1,6
20.25,2,0.014790558999999998,193.6162,16,2,1,1,3848.324,1,6
15.0,2,0.054378253,59.1904,23,2,0,1,527.3136,1,8
6.67,2,0.123428594,89.1514,23,2,0,1,2390.8878,1,8
12.792854228644991,2,0.029943462999999997,60.222,35,1,2,3,1677.816,1,5
16.7,2,0.052368060999999994,112.7176,33,0,2,1,801.6232,1,1
7.07,0,0.09386114400000001,115.5834,18,1,1,1,1267.0174,1,7
6.48,0,0.033968647000000005,148.0076,18,1,1,1,886.8456,1,7
19.0,2,0.173154079,228.27200000000002,22,1,2,0,452.744,1,0
13.35,0,0.139735226,147.5392,18,1,1,1,3877.6192,1,7
12.792854228644991,0,0.043351895999999994,146.6418,35,1,2,3,4414.254,1,5
12.792854228644991,0,0.042086652,122.4388,35,1,2,3,5448.9072,0,5
9.695,2,0.12848269,223.9404,21,1,0,1,4950.8888,1,9
15.0,0,0.049357077,62.6168,13,1,1,1,958.752,0,2
11.15,2,0.008326735,149.9708,13,1,1,1,1956.1204,1,2
20.85,0,0.021362955,103.2306,21,1,0,1,2404.2038,1,9
9.8,1,0.151420934,194.3478,22,1,2,0,387.4956,2,0
16.35,0,0.032511818,165.0842,33,0,2,1,994.7052,1,1
9.6,2,0.022323658,101.29899999999999,18,1,1,1,1754.3829999999998,1,7
12.792854228644991,1,0.019292355,129.9994,35,1,2,3,3340.9844,2,5
13.35,0,0.048124442999999996,216.7166,18,1,1,1,3918.8988,1,7
20.7,0,0.09261307,76.367,33,0,2,1,306.268,0,1
12.792854228644991,0,0.094697274,158.4604,35,1,2,3,4278.4308,1,5
16.2,0,0.035984103999999996,260.6278,18,1,1,1,4425.5726,1,7
12.792854228644991,2,0.056596985,230.9984,35,1,2,3,9267.936,1,5
12.792854228644991,0,0.2047,76.867,35,2,0,0,229.701,1,4
12.792854228644991,2,0.020618324,129.3994,35,1,2,3,2055.9904,1,5
5.5,1,0.04709821,101.3016,23,2,0,1,3339.6528,2,8
15.1,2,0.087584126,221.7456,18,1,1,1,6410.3224,1,7
15.7,2,0.038078899,122.9046,13,1,1,1,1992.0736,1,2
7.895,2,0.095102092,104.4332,13,1,1,1,2870.9296,1,2
12.792854228644991,2,0.011953901999999999,164.5184,35,1,2,3,2807.0128,1,5
17.35,2,0.062799379,88.18299999999999,33,0,2,1,539.298,1,1
7.285,1,0.031125708999999998,174.3054,33,0,2,1,4377.635,2,1
20.25,1,0.026005891,180.9976,18,1,1,1,2716.4640000000004,2,7
12.792854228644991,0,0.09246392,190.9504,35,2,0,0,383.5008,1,4
15.85,0,0.107765165,59.5904,21,1,0,1,703.0848,0,9
6.17,0,0.010647476999999999,66.3826,21,1,0,1,1937.4779999999998,1,9
19.5,1,0.015749341,182.2608,21,1,0,1,3307.6944,2,9
19.2,1,0.077628053,197.611,21,1,0,1,3142.5759999999996,2,9
16.7,0,0.06595278007399345,181.2292,11,1,2,2,2554.0088,1,3
20.85,2,0.056695731,104.0648,11,1,2,2,1869.5664,1,3
14.5,2,0.063993068,260.4594,18,1,1,1,5494.8474,1,7
11.395,2,0.06952926200000001,233.1616,33,0,2,1,6093.4016,1,1
7.97,0,0.034452949,174.0422,23,2,0,1,2586.633,0,8
7.71,2,0.06670068,55.2956,21,1,0,1,1255.6988,1,9
19.25,2,0.034699737,141.7496,23,2,0,1,4093.3384,1,8
7.075,0,0.058346939,142.2128,23,2,0,1,3163.8816,1,8
12.792854228644991,2,0.065203103,166.0816,35,1,2,3,5033.448,1,5
11.6,2,0.07892957099999999,79.9276,23,2,0,1,1137.1864,1,8
12.792854228644991,0,0.18251488100000002,98.77,35,1,2,3,2696.49,1,5
12.1,0,0.016895293000000002,178.56599999999997,11,1,2,2,898.83,0,3
10.0,1,0.073379745,118.244,23,2,0,1,2756.4120000000003,2,8
14.35,0,0.08075758,81.896,18,1,1,1,878.8560000000001,1,7
10.395,0,0.11227149800000001,58.222,21,1,0,1,659.1419999999999,1,9
12.792854228644991,0,0.153741385,182.6292,35,2,0,0,182.4292,1,4
8.1,0,0.127929521,211.4902,33,0,2,1,3610.6334,1,1
8.05,2,0.07838564,256.4646,16,2,1,1,5153.292,1,6
9.195,2,0.078502143,108.7596,13,1,1,1,2588.6304,1,2
20.7,2,0.047684831,212.5876,11,1,2,2,1286.3256,1,3
15.7,2,0.12315965599999999,110.1544,13,1,1,1,1230.3984,1,2
12.792854228644991,2,0.06595278007399345,60.2194,35,1,2,3,1733.7432,1,5
12.792854228644991,1,0.053392944000000005,193.8162,35,2,0,0,384.8324,2,4
16.5,1,0.036715907,180.0318,18,1,1,1,3969.4996,2,7
9.0,0,0.065236932,176.437,16,2,1,1,7763.228,1,6
6.785,2,0.041947547,41.2112,33,0,2,1,809.6128,1,1
19.5,0,0.08288849599999999,178.6002,11,1,2,2,1253.7014,1,3
7.575,0,0.055390120999999994,195.2768,23,2,0,1,5715.2272,1,8
18.2,2,0.012194556,57.7904,33,0,2,1,1464.76,1,1
16.75,0,0.060495243,169.8106,33,0,2,1,3251.1014,1,1
